jcs-JobTitle href,jcs-JobTitle,css-1h7lukg,css-1ey0anm,css-1restlb,css-18z4q2i,css-o11dc0,css-o11dc0 (2),css-o11dc0 (3),mosaic-provider-jobcards-1f1q1js,css-18z4q2i (2),css-18z4q2i (3),more-items,ialbl,mosaic-provider-jobcards-1f1q1js (2),more_loc href,more_loc,css-1yxm164,css-16euvrx,css-1r2rz3d,css-19e4dnp,css-198i6pb,brandingLogo-image src,css-1restlb (2),css-dpbozm,css-dpbozm (2),css-1t13nic,css-19kaor0,css-19kaor0 (2),css-152qxwl,css-o11dc0 (4),more-items (2),css-14rqksf,css-o11dc0 (5),css-o11dc0 (6),css-o11dc0 (7),css-o11dc0 (8),css-o11dc0 (9)
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGQGqBDMx6A8AmUwMHqwH1Bji_O9JKiQMSo1T_WGQXVFEPDoHe60NStWiHlnPpUjSjFcXVCHzS7KVkOaGjLwX-J8ni4uFol4VK6iHlA2ZEEQDS4t_xO_0DpG5Q1vi3jtfz1fM7tpPcNUW2VxyjshsU1u-Z6nq2TPBhTFENnbGEgWMQ4apXzUO0lt_hrrw2ixzCsYBVIv94bM21ZdvSwGwQW8_YUDJxDbHdTd0wErNjQlLuWCXXBoNUmK4AdJhO9a21XJfZ0v7PCljLoBKoIoyRXciJvbFE7iU-XGt1mw9UUTWKmzl_GSCVXiNBqvXALeRQYwqHcMv8rUqbYcyEdDAgd75VleBtZvG9GhaLR5ES0_TVCt69x0uu4zkB3KPNXt62go0SyQc7KB_24QCS-ccK4m2uOOo5iGO6DFc74TQgr5JoUYC6hderVA_HjINfPh89sn0qb_OUKAriPnTSmDTsoCfGAFl8IhpTExTfxBBNFAkRevmZ7HJaxXUuThiG4Uf_-okXRiwoq2-KU9KpP0AeUhV4OFbWA8w6AoDm5ovP8MDerTCdjdX0EAxkSjkFKU2PCNhUCckJjiq2cVY0QCr18mgGcG-pUhBulEcWNCacdKP2G7mj31AuPbt3DcOWZIdjGyBq1BE-kFS5kZeo3_KOfBPrSBmJ-1KxrNM25xMheyZIBoQW7U28Ab5l7YmUH9yIMnqMbc86rnacrxbKanPbDzMM9t9YibMZAOEM8az1Osy3lS4xdgEHklZcJlRUI30V-dNDD8TDig==&xkcb=SoBa6_M356-UwKwHYx0EbzkdCdPP&camk=nUmJqO2E8rjBJA9JUJ_aaw==&p=0&fvj=0&vjs=3,Senior Specialist - Data Sciences,LTIMindtree,3.7,"Scottsdale, AZ",$70 - $75 an hour,A solid experience and understanding of considerations for largescale solutioning and operationalization of data warehouses data lakes and analytics platforms…,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjTNiuSheFNujg1pQepDWy568WrxfAouPTkTynZJKpTnnRBvyFkw3X8SeXAHmyZkQ-ZRc93RKmBa5pasDyl1fYiLK0uWTP7yFJoV00JPhXUKR-ONJ40sjhZOlDZonFjqV2KOcz12ACsmK4y5SNxMVBCot5n3TVfgf0BR0KkAMG60lWE6FJhNAKof1htTytYjgw-2XPw4pNrhPvbrYhLCdW6LknW-JEpi6OWyYVgHwss0jcciCfouqjGZu13CQVHLppUfnnFllHfZ3b-iWt7-cK5E9kc6qpLPnun4mSOh41fXDeRcAjgHaYxmOVz44Lb7PjMi_ZlCUG36eQH7t4vv_LCd6sDE6jvkDWCHFIFpBuAAx5G_JF14WdFIzy0wFBf2ExbbT9BgHYSIEjj1GC76iCfRkWx6CTQylTFOZU9FEiZ0OiC2HmC9GgtGgPy43HVd3qOpFrceSiUOSQj5SvqAjpvWwB3PKKQ40YHFb7fv5ZohX0-x2D2tEkQrJSBVEVG05NIDP0JrLg3sHkdeRfwqAD0Lm7xOwI14wtBOCo3r0IgX0lerWT77HWvmbxt_Q9qLc8GgUjhUIG-9cE9I_fN_kHrz5gSzt4qe0y73Y03gKRssvBkVZh3mGDRNgB3DY9L__15ARW4y2UfETMCQc85n-AnHISQRceUAyNQ90kEc1Y1XpXTb_UnDpZ9I-uM5ID4uqoZGf8v4qxypR8h1Jt7UTXFO7gZgmJJPQ=&xkcb=SoB96_M356-UwKwHYx0bbzkdCdPP&camk=nUmJqO2E8rjwCg4zozAGOA==&p=1&fvj=0&vjs=3,Medicaid Healthcare Data and Statistical Analyst,State of Vermont,3.6,"Hybrid work in Waterbury, VT 05671",$31.76 an hour,"Bachelor's degree in public health, health care administration, health care profession, health and human services, business administration or related field with…",,,Typically responds within 1 day,Full-time,"Monday to Friday
+1",+1,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKCHQfzAQ8FECDVeyQVQkNMbDHrVMw3WFQozidpYcS_EvcuDuKKVkVai9-b0tPzQm6rO-7XSzXg0AkEFnZz6Ey3FYLYClxyuLR5Vc68VBo6tfKRy6Mt0sOJd2nX88XOis-p1UJmVD03IA9Pdkr5iCA6fWE5GCQnYB_6oW8g7KS0iafRP07i5JHQHfkOGEdAqXN2e6q2g6qojc7IoraFwnnf-g46nlqMtaljNe7Msy0seMGc2uHAGPnvs3WH6Sk1cyng0Exx3HFy_4HevWx_6hs4RW8f9S2WxlnFG8Ub4f2ijG_bxAgTuIHKARfWigamkEvjuVEWh2sZqkNhFyqEiK59uzPUy97SX6KI_oYqxj53s57ANIbDmNkTV2Unm2kg6c45rxUbR7FZgtht9V9h7Ofg_-fFuw7HLw2lsohW1BN7_z886yxHSX0R7rH-qgZ80_HQzS0XYLdi0mYg1Tw5fY1ovaJn3k60GuL2I7Z4MBFpNzv6odRT2Hn0Dt9_Xgu81_eSO2JFyvHPRAap6V9grEp0FE9c9Gc4PRtsToya3GzE9JQoj0GdbDGgPNFtwjjD9LevVfwr-Wb6dw4DiWBVi01cUcuHSqIT0TDtk8bocQ6-A==&xkcb=SoDJ6_M356-UwKwHYx0abzkdCdPP&camk=f416UQcMBpDpO5Kq3f5f1g==&p=2&fvj=0&vjs=3,Machine Learning Engineer,CoVar,,"Durham, NC",,"Excellent health care coverage, including dental and vision plans.",,,Pay information not provided,,,,Easily apply,,,,,,,,,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWQs_M7ZA8XLbIFWVw-PYcVVEPryqVLyWhKaEKPskHy2YkbHyHJDwBV4HU3_8QnWuhL-8Z-fo6vwCaKdwKAN8xyGGwrQjnz8xBXAcz71_974zR930zxysKBbJDJSSuHEpGerBrKwvUr0l4T9lkVSyCtfFVovfnjmK4Dk4bk-LkwP26hafK_nAaiXLqN8uwguofRFyJSCfllotxdpULtPdNkIXXAx9SdqHzWmM8n1seiYy7ul3B5Gzap4IsWU7TNr7He0mL2JSLxgLxW4zL3c_i7h3bQWh6laOR-K-YMwqmVgn1fgahkE4HzzfBO04MVF5p45shv7piU8OiZGPbocXQDl4oip5mq16TA2uNoGLksQJEVpsrqTNN-x1gpeC-tmd-48T6Cj_h-UsOS_hpXwDfgvrlIJ4JPWAd5QvkXQ4mFFoprbVd3ROEYUkqTJdpukb-zsbzixZarK5vHMf3xmtDcD4IdOLZSXzkASToztNtmgV6h4ciViAsH7kU6dIY5sG6ShB6pp_0Y9eOMK_dUprAxILafVZbYbrjdcHlHiv0Hyhqz9DW4ZbxG5g7WQqzkNPuSkPYNFuK10H8ESGn24PidGl_BmYl6oVgYf7AhjUQPjClyJmGMbiEPpT6BWHF5gvUszGzFTv6femRm9Yv29C81Y3V3tQiQO4nUQ06O1iADUaewc-bAWHmYMGpa440PAHkSxh5mgyPeh_hUQPv32oxtB1_uheUSnZmgiecA64QYq56_W0DP7m7t4DlWKbJj3E_YYyeL6-j1m4ckYuZojWETGe-ncc5X9vCKx1-se8xJe5CTSI84yaSjrIA8lwFh2ANG7akEgLLbgSEf1BUpe2JyooP5WCMDvsunoGuliNXPaGbyhtUuAQ-LuyLRDbZv9aFBion8qE2mx3xl30OZA-ysFbkgXUuFbKnhjnLcpwxzXl7ClQ1m2U1tjH8ZIwLtZVTBVvAv8wwT1N8NGswiaSRxPtI4Jea3JRziAkZqb8gx71K1xYGMwHPGrYpvnXryvlmkRpqAyFQqIFfStyBG8PpnCDoUhNRM5YADB_T56RfbEnlds_bALkk7eZnbMPL4xwmWnqBoAPGNg_rUiTs0DoIAqpQpjkc5qeMo9FvWETyBNCW6yCtQ79Vgy1BnJq1vATaJEyptHcELFQoXp0nxgP4bOdCG2UtMYgyYz0m0R7QMVcvWGV6xFXA-iZWVhICXmHYgoJSmzcnIWgvqQ4sIEnnRv07lwkeMrX-wcOWDbD7Ka4cKoye02gPo6bTeXuoxjD1qoQw8Pfw4lSELgWjkA_85qNqo4Kur2uv9e-NuDAP3A==&xkcb=SoBU6_M356-UwKwHYx0ZbzkdCdPP&camk=G42KULXkIwMpONDa-kpmxA==&p=3&fvj=0&vjs=3,Senior Audit Data Analyst,Vanguard,3.6,"Hybrid work in Chesterbrook, PA",,"In addition to the qualifications listed below, the ideal candidate has: Knowledge and proficiency with the following tools & technologies: Tableau, PowerBI,…",,,New,,,,,Pay information not provided,https://www.indeed.com/addlLoc/redirect?tk=1idqr6ofdh71a879&jk=e6d7d956dfd67550&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3DoAEB8gcFdG5mZWy4D9qbAaoQIAoJbm9ybXRpdGxlGhNzZW5pb3IgZGF0YSBhbmFseXN0,View similar jobs with this employer,,,,,,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2pP6k9OuB9dVVqjF_PdujusYNLdeVulQvAlytZ7WHPLDUR8wUESqpcdgIq0kFHzHwAmhYBtIxYfzjD7L6Edx9ayLlFNoeQY5NHi5n9DqYViHfYFh1me92fmGT3A0fx0tvZvFbukpezZHVEsjCXUavn0wq9_zWiOvv1ODTalxjQwSrYKynLOBEDegookwwOflTEtUnvTCguCcahx2MWZUp1ezPbJzR4pBAAmJ2KNiPoBkAeQkWyJsU_4VwZza0wo1DM39Y-8Rhra9KG40JajwV8d1Jsux_xU-WGjGoXiWNzVBnkjlROOI9Bet2_FzPz3WnAkkEJI2wHgXPsF9i971LrF3yHAyFSXfh898rkpnsJTtQm4ahgKiBBV1jCxSslb3kIoVh2cP40y5a0fdGkN8NEPRBmihXwCWpJIYal9n0g7MlHLdbHHqDQOJ6SciqUvoGQD8MQ2Kas54cf4HJXN--3fT26GPtokh0z4F42_qULRfAcoajjei-r9hAVepGP4LL1qKPVLSkdpKPZ_4d2n41wHrk0P6kvyoPkLNpZYNUa9DQErZWsgRqFduqeXu82MaTJvbeFPCwY9qmPKKTKZLI8Sqen2FgAMjkEmk_NV6PBVsZLXSnWh0eF6mq_gfotM3iMQZJjhLNx0fkn_-kwCPIoDqF-xVsLsDm0IRK3yFyLg==&xkcb=SoDg6_M356-UwKwHYx0YbzkdCdPP&camk=H-lBaXMUocJ88YFoGTs3VQ==&p=4&fvj=0&vjs=3,Senior Predictive Modeler,Sitewise Analytics,,"Dallas, TX","From $90,000 a year","Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop…",,,,Full-time,"Monday to Friday
+2",+2,Easily apply,,,,"Employer
Active 11 days ago",Employer,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Strengthen your profile,Save,Skip,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Buby3bM6xh3PvoctOm6nU0sG10uZOdQYvMWxvRDCBuHbIGEB7N-q3yaefpI6LU-4Rgir077IlrF38cHgir2EwuoksYaBBUlySa3qcD_nb0fuVnROpnbVbfuMHgCZ5Jcrlw0rSg5r3uRcrG3k0NxqoFfeYKCXApq27igh0ADU9H-gv8ZJPsW1zv3A9KfyXyNBNlQjS-nuCKSnNi04uqHnKq688Oay_nlk8B7ryCbzhfsXwyYe9zewqZ-m0Kuw0uW8fnDVn-BZH6l2wtTN2VGnoM8yq69oySJcE66TuJJi83qOJE9fxN6-bt2pn29euep3Uz7xkNM7Od7G2KkP-ndKOnei6wjro0N6iw-A1DRmJWE_S972SbrhTj0cPcwQ1B6QC9iEWAFhIkM2QZCvzde90oFKZGgrYzG7HzYymr3Q0Wt5w5d-xbMlg5uQZduyGbh4JX6tKn1x4IdduVuB3DRRqRg2OwOmQZrNS_w7BamEh2OEBcd9alkXW9iiBDLdFAue8ztajnV5IW7NXLwTUEXJ0Q1Jsl5yTEfUTwO44A625RVO4boxNANW1a12hTSbjKthVSBE1BaV0LfmqdnFeePFIBr3IJOBpV3LzZgNXVPHJiYDBd3BPXGdM4AXjNBDQ_5CwnHWt4IOJ7UG1jSxt2DAd3RnS1qpa-6G8=&xkcb=SoBu6_M356-UwKwHYx0fbzkdCdPP&camk=nUmJqO2E8rgZCSKTi8wABA==&p=5&fvj=0&vjs=3,Senior Data Scientist | Commodities,Macquarie Group Limited,3.8,"Houston, TX",,"Familiarity with data analytics platforms such as Dataiku, data visualization platforms such as PowerBI or Spotfire and cloud computing, such as AWS or GCP, is…",data,data,Pay information not provided,,,,,,,,,,,,,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f00507139e2a4358159e507979f38b73,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkXmWWeJgztzp7_JOZo0BRKyTWfCAlxE4OBEyh_4uepmc1nowYOEU1MC5iUGHdg2IGUdMGSCCt8thDKRM7k7SwspFGQ3mjEFxm-9k2SG4pHLhceXa_7i5w6LED8v_aG8b_-a6QTHIlJV8800Ap8GBoregDjPrdZXi3bUxYwtsrqBFiNm5vwfyaZZU2WLB5aFp9ALZ7Aj8eIoyUnP7q4MOtoO6POvnbYCn0cstV_M43LU4xKSvYZBlivSxrtImspQVglMXim5ZtPrtUrGeq2KeVPg4bmh_CvpDk47pD3q-qgc77covU-XsxhHIkFHTbIf3Q1U3YUUvfRblaj0PDy3iBayio4Xm9P3RrSELlfsHmCq74TqZ7XDzsQN_gKH3TW71A3rV2zy7uhVCKa03dfAamI_Iwp_pqjKK7PZQFO2XzwxLaWMHo590fX5ETktfiq7QGWX86nGvrqOVu2vH5RWSj9IdDKG0NCgB-FDO9x6F80skiiYXO4s2I8U_VAVDXRK5AUT7k9j4msW8BtEnKIxiSZ4B1_PFlNGFdCA0bvss-chdo4VKGLml56CNyvB4uMWp7dRpfIZqO-0K3Hvymdz6EEkhAuf--vexFqpqL4hQYvv_AkVHNTY-9GDIzHbVzuHn072aTlsfV8n4bAroqHDGGH6c2f6gO0wei5JJjfWLYkYbZb9WpHhiln5_6xdCBniWeiADTXKoMYYGvwSSigUlQjCZ1e6T67jhQS8U2UHpJ1vshSPqtvRQrpQ_vLLLNLwQaVbhSzSgewcLC-udPJ8K5CTSurQnSQQ_19ti-kJJkMVBQ==&xkcb=SoDa6_M356-UwKwHYx0ebzkdCdPP&camk=nUmJqO2E8rj04_zQlVAF4g==&p=6&fvj=0&vjs=3,Cloud Software Engineer - AI Trainer,DataAnnotation,4.0,,From $40 an hour,"For each coding problem, you must be able to explain how your solution solves the problem.",,,New,Contract,1 to 40 hours per week,,,Hiring multiple candidates,,,Hiring ongoing,,,,,,Remote,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwP6NSyPII8Kiv0kbFbbebDSx5gYZqV2yJNSnCXD8tkAnehI63LfFWpJN1CA7Bfq1h3BUUdR487KMgqANepyp7DchWKwl8M7CdjMnzsILmf3B_KgNFOXzX1q8K9JGztWqe971cIznh9qW_09Rib4fDNu3JYscDDD2FHKrs5dyvgiRJIapG5YXH5XcNwuDbXMhBssVtdQWmM7TpeFKEzwuHM9XTa_cpfLjO_2mZhzTdR23yxcY8xRxXqvHzqx19ptQPAUZES2wSON_NMdMLr2HLPVdBUK43ppWntdgH98D51FBYijVRQT9YfqiyHhSNwsqwUwU3BEVRzq0Nql5TekA9lM0VRW0Ws5ekQLlIlbW2Lq89u0R0w8JmHUclQ6QWGrYFoK6MUKfiJU3YuosGAqS2xDZIp9NYOhRS8oTHyG3NnntN4vRvXaYRAKnKIlwlPp--7eiYG_2utpNsktcOA5XsU5Ouw565zLJSeQtzQscw05o8rVLJ_2JsYur5HA51pkJ9Ww9IS3YHBXZ826k_u8T-C79JZhHo331sQbNg26zqym1K1nOrHdcb0S2XqYeEogDnEJaO-1iQawkIhPRk4QLdawT0ViBBaIq773N4WZGGew7jKwfSkUrm1BYs33dxwHAhSIOcj6hw4w==&xkcb=SoBH6_M356-UwKwHYx0dbzkdCdPP&camk=nUmJqO2E8rjzGiIa_3sjpQ==&p=7&fvj=0&vjs=3,Data Scientist,Aquent,4.0,"Detroit, MI 48228","$120,000 - $135,000 a year","Our talent get access to amazing benefits like subsidized health, vision, and dental plans, paid sick leave, and retirement plans with a match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvRGCxZ4djDl1Icb-LSZoUw_Xssry0tB2m9q_WpAKqMwL2t5b6xMhPHvTbHPDIpgZqEWs9AY4yOHGHn1aVx_F5nT4sw8_UTMflZpJfERne88rZhwINyToXGY7us_CxST_yiRlfSAbywEb-YzC445frRzDZIESyc7XDLpDo1ABycdkMoe9awIIBFVdYqSWqDdBexjOrFUjKqg8nkLAYXc7-aJRJ3eNnjFhq9EzcIbtZlbQcQxwyGl6TpmgsWce4NCyoA0L7sZpV8oQavFDoN8zTjnB8LWcpA9z1dgs9v-z_dtDtYLvCbm-dquQEU4xIYxg-2xSY0mcg9OoHHTbfZRw6mMWHeai6Uwm1bdCGCFS7G3tJdFPX_Zb-Ha08xMc_zGIZovj8ERM5DaxAB9STFwNOxIjrqOnyhWQVBXrUP-u2hFm5QkHGnpOcPNj-cUUEnn5Vo5RMv9sYORhSRgVFJQLZ2CQ546gxg8LjYpXp9cBe_SwsC7KdL5XWoOA_o1lBdkck5RLSE0FFas35hfTg98E46B6igiYvuYtoJQXSXNzGhdXUeh6mghzEFOqowU2EN6iJ7b8gJ9HCpySpEM7mIqhhh_YKHL5pz6E2ffZSzJHrd7TTqHlKvfJmhou1WZp8JT0ZKUDHGZjbBCovkn76rUFqBBUGW5-2EDlUAN8LU9023UJ-LzAsvsRBXj0RdjlaRNC4JxtCj-dJFgtpFp7j-5DWWX7b1-7UnFWTI61kDgiUXGCw967UZ-9ta0xfcaXWO_lD5ES62Npfu-Muh6vdLeUh_dfLeTDXSSJUcm339Fr_NAtvWprHKIUUULNrUhPAU0U=&xkcb=SoDz6_M356-UwKwHYx0cbzkdCdPP&camk=4HOcmqOLYrCAllNCaYkImQ==&p=8&fvj=0&vjs=3,Business Data Science Lead,Biolife Plasma Services,3.2,"Hybrid work in Bannockburn, IL 60015","$149,100 - $234,300 a year","Experience with data analytics from end-to-end, i.e., including ideation, proposal creation, getting stakeholder buy-in, designing analytics models/solutions,…",data,,,Full-time,,,,,https://www.indeed.com/addlLoc/redirect?tk=1idqr6ofdh71a879&jk=1368cfa96cba39c4&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3DoAEB8gcFdG5mZWy4D6iQB6oQGwoJbm9ybXRpdGxlGg5kYXRhIHNjaWVudGlzdA%253D%253D,View similar jobs with this employer,,,,,,,,,,,,,,,,,,,,,
