jcs-JobTitle href,jcs-JobTitle,mosaic-provider-jobcards-1f1q1js,mosaic-provider-jobcards-1f1q1js (2),css-1h7lukg,css-1ey0anm,css-1restlb,css-18z4q2i,css-18z4q2i (2),more-items,css-18z4q2i (3),css-o11dc0,css-o11dc0 (2),css-1yxm164,more_loc href,more_loc,ialbl,css-o11dc0 (3),css-16euvrx,css-1restlb (2),css-o11dc0 (4),more-items (2),css-o11dc0 (5),css-o11dc0 (6),css-o11dc0 (7),css-o11dc0 (8)
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiByC3ECiiXeNjK6o96Z9l0FoogA26EtaEOk3Zk4xq8rM7P3QRNx3kO3ORG-OyQvmh3HQ2SzJ1GU8BahHe0S8fV0mpRBDjFaBqDV3Rh-aIltRCMMqrOIu7eQCNypliiFpCpTrrRcWwvK8Eo5X9zIcZY0loieQHUaDAqeWp8oxS9YPgqCphGOG7B2R2F5EIUU70J72tbOi_tfKFCqxcNY6u70JLYXU5o1kGBMGzjjA9OJDcY2F0NnN2u0iwGtulfFn4Ao_kwUIlC1bDu2takdJ2lbWkqVK0tK6tZZwnY6uBnSV_nIfNkpSP1pH-fx57VMmtGmp0wttRyloysKPM-wv9ghBbdZyOnLrpJ9AEubr9nBfd-lbXy7TYd7LRZMufxhCjHikKu9uaaYyj4ebe2ySxJISc84xZrCyBPPIgZE6SSzv7PK3xdNulKhM-A0vUa16ChltMg3wVBMK4H5WZfv1CCgZ6FOdOBx2ZZiNx8uHepX8S834uQeyfbUxaOLnqsfzEg4-6SZ6LDlzlXD7SgC2145eRwGX7OQSsxL2CeHcKuUquh2iUEjC3qPpsZLw5sZeK2-kGbRueu490mj0wCOxDRhtscWUrapg0Q4qaloVcvWEhb0XQKEUjvQIFSZqC5l7YdvTh9hBSDtCtV06U1FpK23pGL1T-caXqeP5s6ML1VwVYRxdlk7T-nHItUmyMunTitNOzQly0m50tAbn5rwyGnA-qEE0x7hiAIoTj9jzRhVsWsyIs2cOnc39ymnTxua1iI-ZZ-IAaVx8A2VxMYdDMCM35hcFCynGzxmPKYOxbVbS4EA0n8UJgE4eRZzI9GjoXA==&xkcb=SoC66_M356lg0iQH2R0LbzkdCdPP&camk=nUmJqO2E8rgJvUztBUS4zA==&p=0&fvj=0&vjs=3,Actuarial Analyst - AI Trainer,New,Hiring multiple candidates,DataAnnotation,4.0,"Remote in Quebec City, QC",From $56.06 an hour,"Full-time
+1",+1,Bilingual,"Proficient in data science, arithmetic, algebra, geometry, calculus, probability, statistics, and inductive/ deductive reasoning.",data,Hiring ongoing,https://ca.indeed.com/addlLoc/redirect?tk=1idqmro36iudo80g&jk=dfc91b32cfd7f5b0&dest=%2Fjobs%3Fq%3DData%2BScientist%26l%3DCanada%26radius%3D50%26grpKey%3DkAOd48k3mAP9lYnKA6ADAfIHA3RjbA%253D%253D,View similar jobs with this employer,,,,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De7scZMGRktcRm1xquClSEeXRaD9t0XBHJvo7d6kcpE4H64IEDbL6GdxOUoFwYiwxnUanucHQjvjreYVr-Q7OQIhiwTEjOq2FkoBCL48HqkJaQwnXeMArw7DQk15nb7QSlNrBVy7sdJXGCuCMBxa4BxYTM9RrW5AzTp7SNYOaOlLHoLbKpd_fhvGJ8gDwwxssSt7WHm7kQ3ow5GKX_zUUs2ilh-ufAoIhlMegtFGjPdKbhxkfCkVaZV1LlRifgjaiAb8Q6IdNLWOMZp3TJSzoH5Fg8yfMOMC3-4YaqICLgEAbS_DDCsJxpF029hgzW_q3rKqB5qTWSYd2YfIhViYPR27ZafIzylf0B-SqKS6Acgjx1a79ly1VV_AKB4kTXIvV3KhN4qS34Q0ASEBvqOlnQGyg0uDmCMpJ8Wqcd7juAlcow-YRw7b2h7HFKAEcq0cjyunIx1hewMfdTtsQNcu3jOzO-lLZuKZ8BjQNKgFWkb3dMnH5vFGXnvlptwP6cm5vXnSXfdF-HWqEZ6cPxm3YwsivNrClWWKtpjAEfb2UUUeRfTch-frscRfFjbjhOvEMQrTHuQfu9ZsJklfDQ3xg1_fBG50fYjyHGGZRWyIP1bksCMG19R12rwEZUyLgi4wBjhAAXQrPNMncVY0RAYrbXgdiRYtZ4DzYi_CkTygZxZ4JyZlqcOol3TAA5WY0Qak-KQFcrqQuMG9HP3TnlhOuRtcjDfEcJzsadFeksUio8bOL2rTzhb4aBwLDxBU3vNACoMzeRCtTnn35S6xJOPh00bEn9Y4sWerL2LeCyJBLPOUDpfFUb1vdYZF0JfbAcTwtawxW69s13UKFih9QPKiSyHsog8KRWMYkThrAUvgYi95XJ-H0AddS0BTvjGdm83agVzI22t-_LskRk4ksqYrsa5IuVFh-cDCpE-Okeditbq0U_LuD3WXW-zz5dbJi2VhW3BlOcUSezYOvEpC41a8cKP0BnUR0FxO2Zm315FlIxDirWowa3miCmeZnm5YQFeD9gTvmuf1ONbNth_h1c3ZdbGzcBszG7GwKY-fkuYffV9GXHr1xE0hEnTxi2jDvAgVkcqdMIkHFcfqJrcbH5EZAZZpqWzUNVF_7Ba7bq0XYwocMXcYL5VCWbYBMJ_zzJCW-dN8SU3Cg4KkRG_ZsLLfA4N_7pwiFGU8yXbrMiQOq-1zqqTmNeKxWsjnB6Atjedj-45c-uW-yK_vvgKlnbdyl21fWilW3p9ZqSBKZpCmQm4PbNZLTss2Fo07X7e0FmFF1Zry4uVB8qLe-k89ouLrlT4ZLbCUTqyXmRxQ3XsrUUBoWf-vrFntx7LBeNBk_TiEn5RYhvxpz_mrI8HUxOsHQgrJEBPBGhxa9QYQlJNz-zv0gseQpqmXCbECEpZ-a3598FpQie1H7Z5w==&xkcb=SoAO6_M356lg0iQH2R0KbzkdCdPP&camk=nUmJqO2E8rgg2vLWC4aHxw==&p=1&fvj=0&vjs=3,Data Science & ML Coding Trainer,,,Outlier Ai,2.1,"Ajax, ON",$30 an hour,"Contract
+1",+1,,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code.",,,https://ca.indeed.com/addlLoc/redirect?tk=1idqmro36iudo80g&jk=bb8237bf0a1c6390&dest=%2Fjobs%3Fq%3DData%2BScientist%26l%3DCanada%26radius%3D50%26grpKey%3DkAOPuckYmAOIzvjLA6ADAfIHA3RjbA%253D%253D,View similar jobs with this employer,,,,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De7scZMGRktcRm1xquClSEeXRaD9t0XBHJvo7d6kcpE4H64IEDbL6GdxOUoFwYiwxnUanucHQjvh91_JC_d9NUzdTt8hqcyQmA8x4lEg6dYz8wcV_eVH0r3MUcJ9xAg5UTTyLsx7WnPrcKho28vtHJm0TsnzZJzWqCPWxU0rbOkmOxQOvGhbaByPg1m8Cgv9b50YjCnxRtcG7WJhWxItpjvXLRIkjBY5EgoHQ-uM_VmkkfFz_W87qZ-NquTRQl2wnLwKj2zSFmkCuEVFaQlIHa7qEwSXaIU_VneYJ9zf6-4qCkcduoR--J0j_7Ybt8pzxKSScPCcs3zFGEwH9Aj3bnJxln_on5NLOXPfGgEcVWclQqDoYf9pDmx3d9vCga5cf4FbDaQyygNs3daQE4IOE13mO87CDpTD5wdcahLm2tIduVidUSlNpadKY-OkcwvX37QxJTdXhN3HqEGZgRGNUnOsvGKsTokNWwBU-MrEIrdB8UMEvP4XtbIX2QyNBsLu8qPKgIMPBU0aD7C_YmWVOnOQtNvHDm9E8dMgle13flX56qHkr7_O2EnTJWlWKasnvhwbN8A83bGd_nVGE5Z-OCfdrxEOuJ16envdK-JQzHLPwpPOtxQeZk42XFdrCkVHC01AP4bka7laj-P80B1icdB0zno1U71a5nYMxNWiBKv2QtYtNjuVEhm6fn7wR1SV9VHTiHnXVT94oY1U_Gg_SXXFGGw50FCkqqUKFbLXGJqleNUG252oO7gK8vBUOShDJbrjvqzCLKgMp9Zq-uscBey-Kna_I1vKV94hF7BXT6SIWHVr7fIDKF6GdWfo0nFKhIMTntN7ZbFLefG205t1_Z905FOrLTHTs-Ymnl7-P2T9V5PPGeU-Crg5GJgjX_IYZjReNlDYAWwfb1uo0dF4RAdxzTK3AOsAdr7ufyL-jA-GfmoQ8jSHnYBqEjYmBhj5wBZ2UuXL7iIgs0gpmWAKNRKZlb9rBuxn0h20zqqDUszP1MCPt-8PHMqtm2fOgzFjPS2_oiby9IRayIvj9GkIUpW8ofxGIcO3We-JLAYaECjOoqneVtOsQDFNarNtXq06L3c_pq4QGtfrmH99wHaWGLCGOuGhEJLBiPCMHkmmyJNIJJmPouVlaDm8cR5bXPU4Rmrh2YczGRY7AqKZJ9gZxcqVGEopBU07J9huK6MAs3rkJizWipwFq5VidOH8_LrOUrBvns1m0V3Kceq7IqEy_zH9i7E_rivZ2wscDTqKU6t0TPDQdmcszITGSE-pL-nURC2a-NVzNvJXeS4Tfq94o4WXvEYZrTMwbB5VKN72CpGkTfD-YedLwTvcHeZ4B3s1xLyMmpsgeI_777A1n5U3mQ43_BdSHHS0w1vTwI9SDSepbqn_x4GD0sf31_OoWiHOFZokuDls-SJQ==&xkcb=SoCT6_M356lg0iQH2R0JbzkdCdPP&camk=nUmJqO2E8rgg2vLWC4aHxw==&p=2&fvj=0&vjs=3,R & Python Data Science Tutor,,,Outlier Ai,2.1,"Toronto, ON",$30 an hour,"Contract
+1",+1,,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code.",,,https://ca.indeed.com/addlLoc/redirect?tk=1idqmro36iudo80g&jk=a8bcfc64145d35d8&dest=%2Fjobs%3Fq%3DData%2BScientist%26l%3DCanada%26radius%3D50%26grpKey%3DkAOPuckYmAP3zfjLA6ADAfIHA3RjbA%253D%253D,View similar jobs with this employer,,,,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiByC3ECiiXeNjK6o96Z9l0G6c1d7QrgH-cNtErjzanE53BCmlqrLhSnHQr4JAuHkA4d2TChi6s1TYjLegXiOuclLkqD1TnQfJM2gzzFX1TGDt8Aq3UUwd6HLZGpgFGqk3XnxnBQrRl2bTAuI-fpyXm0F0w_x2dTMl5bGOp7NG1WL6AbfpuJ9yrju8ctIC1ol7EFsXMTyzbAsvgVjvvVoifGalBqQ8jLbCLHHu2nbLynErOIE3OetQRLYsbK966HWIA_swTuTn_E5kvXbqe_LQFMLTVQCE60tgiP0wjx7r0X3KK2hkEOSdBUzmDCKHH3itH8JLPJ8ST16A53lMMXVBxAEcDiIEMppazZEPH_VF5s1aDwElWwQ-teff5-U7vuLnSCQiBNLFGy54mNjAwHXE-TcVz3LA3wIl2rFOWOlQ2PixHsgWIoZtBw7jCESDJXNWIiNVHYVvZFEM1Hl4IT9dsRmYTaI6ipG-P8JGwtIWBXcho9gXyaDfU_L6XCkxxLnTV2pXwSzljQinlLv9IundGvM2vFCDLzKbmVDJxSxxlf5VjtvHD_L9g5pNVf11fP4Zb7QrFRQ7hQzBaEnoiag_Bqcn3Sf8ADKRysecFizg6PfBOa1UA6AB2IC0tfKxrJevvhXkvHuqk2aH1TzV99GKlqBoiRbgYSF2RcWtby1qWQ5xcYYU6hTalpBLCqYMRUpuTtzsnrD_kskCDgkny4Ki2RAzP3AlXu-HnQikDIkiRyTV_PL_IOz3OUkYoSBnFgglzEokLugO0YZV-dSsc_oqFSQl1unLvjmM9RRh4PTs31vOCLj20b8fm0=&xkcb=SoAn6_M356lg0iQH2R0IbzkdCdPP&camk=nUmJqO2E8rgJvUztBUS4zA==&p=3&fvj=0&vjs=3,Actuary - AI Trainer,New,Hiring multiple candidates,DataAnnotation,4.0,"Remote in Nanaimo, BC",From $56.06 an hour,"Full-time
+1",+1,Bilingual,"Proficient in data science, arithmetic, algebra, geometry, calculus, probability, statistics, and inductive/ deductive reasoning.",data,Hiring ongoing,https://ca.indeed.com/addlLoc/redirect?tk=1idqmro36iudo80g&jk=2bdd1da693d9bdb4&dest=%2Fjobs%3Fq%3DData%2BScientist%26l%3DCanada%26radius%3D50%26grpKey%3DkAOd48k3mAOns4jKA6ADAfIHA3RjbA%253D%253D,View similar jobs with this employer,,,,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De7scZMGRktcRm1xquClSEeXRaD9t0XBHJvo7d6kcpE4H64IEDbL6GdxOUoFwYiwxnUanucHQjvpwuE7uiC7KoBodv4pHy11mPPDaD017EYQD6d-JjCnjEx7SEckM6Bue3apqSVOeqVJA28Q1UHTF6lQZBn21S-5FPJGQ2crPT93-U9StMU1m8icVUajJd87HX5nTHOMuhxzxtVw6DTeiS3kCz7qIVxm_2Csyn4x7DLonAUaCPx4JoquDTGAhFavYSiOSVm144uJt2fVGmIDj3xWCzrmxklTzhm-sTvP80dJWIJyGwqIyHlHO-hNpD0tXPtjwRNWfCjEBgGBYhmssWyF6aCyxbbaedC-Uuu4FOdkjrtclazKoqMYZ41DeYw7AbVZBBazpYMvos22O1Oh8wkqNmoE8ysbkcaUuwceIKm5YcTEjA2khPzhXbDeRUXab88X_lIx3m0WDnpTl4hA2jmcCDcBWMnD-aZPX_SeuAmp-XPFQTDjFRNvDeHF8BXTf2IjCA_mwkBG79Pwm0Vr88l3F4h7cEBBf6Qq2-0VV94OxtgEoqPSpqZSbTV4pB1p42rQyjafg2IMiIVoSzs0XBVQskUV_dVeYfG-oC_vQonIXKTbWbPdSAz1myAXHEKVYasUk1qMnSm7KALVYfXXys_apLYojtpoKBYupGKRv_Ly3_VKRahBcksByMNa10vRUYlDk_3P1vXJno3-uR2t6zdQDS8Cxozi4X3bhf9V5vNLWwfPKCiwK6XqltPyYSgI3vRzxoCwuJ2K2bUrE43SLmPk33qS5G5hoKk-rEcN5SDPJC0WQJxuJWC0cxg6yklNfRkLdg4qVGfiWXBhGuAZreQ2KEK-ONA1fi8yxbzyyxLpUq37vC0lSHADQChwkhHVVMY3jyMLquEwV7mp2M6WCc4R4w_aJRzXiZ2du5nTE5ky1Q_9W7VTu5TZlst7hhCE845utfSXqL58mBSAodhwLJfZx1bNaSE88XW5uBuYty31k9xGxMfX6CVfDzKZK-h-S2tZdPzir-c5LSfDqVJFTpMbHF1iDR1sOk52RK2FGvjw0AZry4Lr0ZjT40e2n5ALmcaznSH881zp_oYTXh3KTC0ZbsRIvxXIc8onUKynpsnu6R608G_I69KhdXZ4NzC4c5cJAwDYMfsYd9vRQG-lfYLxwSF9UODOSsOQstPj03fRz8ow3Tf46NAoEcDPhU-FyXaOac59dlFXAcSxRzao91-m8YKsRgBPne0wTzoj9Sl5Eym7IppYGUlKAlVjsYiFD0YtySiMxT0w5mU2bgMToAEF_fHWWcNRcC6n_sEFmSJ4gmvgiKAfZ_GN-ibg6NkzmoKYIdzMzDdGccisnXCxxr-rWkue80jRkWxGyLXqd5Dxz5-Uc5zx-LvO7KNgR-bggSqFcZrFkcVg==&xkcb=SoCp6_M356lg0iQH2R0PbzkdCdPP&camk=nUmJqO2E8rgg2vLWC4aHxw==&p=4&fvj=0&vjs=3,Machine Learning Python Expert,,,Outlier Ai,2.1,"Markham, ON",$30 an hour,"Contract
+1",+1,,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code.",,,https://ca.indeed.com/addlLoc/redirect?tk=1idqmro36iudo80g&jk=d3a21b2739468f03&dest=%2Fjobs%3Fq%3DData%2BScientist%26l%3DCanada%26radius%3D50%26grpKey%3DkAOPuckYmAP2ze2UAqADAfIHA3RjbA%253D%253D,View similar jobs with this employer,,,,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DW8ZNUsE1kyYPu7bFgV-tPs4o3y1hkRHy7wi-yGZUGgELmfIC6_aaBMIAhdp-Nr-U5ucdpd34UZCyMDH25Ucy9wGvjLjN3nvCrjDPFrg0z6thNO2uWHhB1xzP5JilDmZXcnPqAfRMYNUxUMayohBwKCjRLy_ZTZcsKIRzfxqvELWz5YpACN12-GPCUD7rudZz1-Ov5zBuTbuQyiHebJYhNnRVbbZMwA43yaFvWfkVLmPYpyVMFxE21F__hxstNv_pGjkeQ88Iti3kgKrcRIMdmMqKCAGrfKTFuMkaWAzprdPDACiSchNiX_Cpbt-Q3N3YY6uwayQqteQGriMBf3CnoD5ZA57MSbXFPTeYqLfUgfR5t1xw-t151uNSj77LbbfJKo2vWHPzXcjOygUYx-y7OtiaFtJRlNcFaOZNgk68cT2yNq8xfMJ1MpUUwrK-0v3csDXqZe4Ec02z3SK6HYCYAlwFDjCiCNTt44mo9AM7jv2EE9hVNd8tma6p3bq_atng7H9Vs0JL9plVSfE41T-dw07tedfEDT_fDglevYlT31iYXwaLjFVGV3O1Zc3Djfq0y0kJQSm47eSv48l1nTqpb53XGJ6Sc4SVvPNWKW4dwDphKyU6JOwkAvdR3F3Xo9AVVVY7SKaVLSHbbTzXC3VuhSn5u5iqkN81_OXErbKZLjw==&xkcb=SoAd6_M356lg0iQH2R0ObzkdCdPP&camk=nUmJqO2E8riRKgaFjw3P_g==&p=5&fvj=0&vjs=3,Data Science and Pharmacokinetic Modeling Scientist,,,Eupraxia Pharmaceuticals Inc.,,"Hybrid work in Victoria, BC V8R 5G4","$90,000–$110,000 a year","Full-time
+2",+2,English not required,Create models that tie pharmacokinetic data to efficacy and safety endpoints.,data,"Employer
Active 16 days ago",,,Easily apply,Perform standard pharmacokinetic analysis of non-clinical and clinical data.,Employer,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BaATaHLW_9Yn713Qe3EZYN-a185EwUFE_uxMIaUCl93fXcsFIRCBL6YIYcdogaFVVXVpgqpBl0ltr1zzs1ZL7wErBt9q-8fqbi1fGku4JYbOqW8sSEijVtBDYgot7GB6ssMas0vD2AS6Xj7r_IMr2Wv-n5EsAMBOj0c120g70qeEbEffsXEmlQ_Pu5N8R2ATc_WaLm-TCuW_rtwslihbpwppekoaFHuWMJuQJh1Wbsga1MXLiuj0nqaXo_KcpxcERDJBSYvgtP__eN-kK8hT8WKbIVH8LqRRRRJN1a3bDQ3xfKqrHZ8MpFmZCpx5tM9XJiWkETcb4tT2nfE__1jOVwgttvmpHCY1iZ1sTsJ3haGD4zNdD4lgs3271OTySOXY4zvMPI7gR2p966oRGmvZAb9-N9_0MTxCFpjkx3kLDQipf2hdWVXf5TYL6RC8Mrxn4xtxvQ18SlzD2RqudWuORJpvQCcxUdOwvfolUPF_VirKqslPDDKT4bJWwUktZ2jxUhGRm0px7JG3ph-WpBpk0sWjY4_CRh-f0yE8Ce1cUIuzsmRMU3y0qi9hphulPdsBcmdekkhfhykAbJm9KJ90kk2mZU9vKB09qP-yEPzCpkUD1nL9BPbsUn&xkcb=SoCA6_M356lg0iQH2R0NbzkdCdPP&camk=nUmJqO2E8rg3chtvwNCgUQ==&p=6&fvj=0&vjs=3,Data Analyst,New,,First Nations Tax Commission,,"Kamloops, BC V2H 1H1","$70,000–$80,000 a year",Full-time,,,"The position also includes assisting in requirements gathering for changes to data systems, producing visualizations to enhance data usage, and monitoring data…",data,"Employer
Active 9 days ago",,,Easily apply,,Employer,,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeGJNqJAJrwugWMVR3T1j_qTc4y6PD0NvxPRvc5-UdBgsndeBL-NgUiooIwX5M7f31ao3U-9nCvfyK0ZR8KCC32YyGbBUU-jFaTrtTlyrskzzzSTuiGQcT7tiem2XpZghFIheUaAaCtD2FRz-JP01z-jG5oed6TIwSkyL653FoH7MIMNAw7CcmMKq7xoP9474TqgN4GNySwTYYRvuRVu7_oK-2hw_7CKNLjDB3tAsmxY71gqraFTeNe4B70Q5mTSbRldrHqolXTxxqz0iWrw-ckr04MIZYeoNcgYEluaS-5leWpySwkzzO6Yp7hoveNyvRPIBVIF-_kCpDfMfi-0f_OMdvJvPh7oiUeeb_8QbRCBY8mMiZqh44WqsAjJWJILgAhLAOHUJLRSzaifiqCMGsy-cBjikUpw7pW4bhzJ4Pykw3S9YhkC8ky9X16No3Z9zGjHqiNcd2AyDCusYdmo5kckaBSVYpbb-SF_y7VPk0VwNGUkFPXGdgxHvjcqrdV5OKj8nEJdrdGQ6lPti8tD1FgqbERETKD0a2guvxJylVR33tTX3u9QF2fGO4Ti-kRKo2OiRKzCLiq89pHCvqNFF6LdgwmiuG_hz726E_QxfgK26U0vMOdq7nARuxbOqwJ73lJMAi2LuSx9l9mjJQY75hUH07OPrwlD4=&xkcb=SoA06_M356lg0iQH2R0MbzkdCdPP&camk=nUmJqO2E8rjLKixFQF1PyA==&p=7&fvj=0&vjs=3,Data Scientist and Developer,,,Tula Foundation,,"Victoria, BC","$85,000–$100,000 a year","Full-time
+1",+1,,Hakai is currently looking for an experienced data scientist and developer to join our team.,data,"Employer
Active 7 days ago",,,Easily apply,Experience with transforming and visualizing scientific data.,Employer,,,,,,,
https://ca.indeed.com/rc/clk?jk=cf5511a8e465ca71&bb=suatVpGBVm5QK4s-NKftao0wLvkxQ1iQF-NC9T1W_BbRw9zNy-EQT01MwRV6zL5yHFHQbpnhwokI7xEBery7w_Z5dRjVyen7EcQC0Qe0EPkvJkJXAgAam_EvlnA8lrKb&xkcb=SoAp67M356lg0iQH2R0DbzkdCdPP&fccid=51aae4018ae374ba&cmp=ProNavigator&ti=Machine+Learning+Engineer&vjs=3,Machine Learning Engineer,,,ProNavigator,,,Full-time,,,,"Deep knowledge of data modeling, and current ML and AI technologies with experience working with LLMs in particular to develop language-based solutions.",data,,,,,,,Remote,,,,,,
https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DM05ev2ceWeOxU_zpRWTDZ4utFy2v7Jr0rGCaf_alMSJO-YHpevH6kSaincJE46oS8MyDQH5lVH_tIusRuuRyEX3ItSIB_AvFvKTpAm6_Opkab-T43XlrA5qtoH9TtXLRYW4qK8z_4EtxGNYcgG7SeX22T8YjOXIA9PQGeB8gh8_pAZO0UzLb-DOK7Oqmcb2zGFCRfBHOCoQ5FAKEydr-MxVH7XjR0SCLOQ2GVK2-LwkvBqhRQ84RIhQij8piKHHdsPdSSIos2GJ8XBnXc-DE-30friJGWFGbqsP38pvDCuz-RnzXc_TRo7K3yCmKJcRd6VU-YpJE-RYqExaNjr0k6iQmeMgSMBaED_gYlj2fOhd4Iufm4Bmk0EKcSKmUyGppgAiMjf41v2MecxDO41Iqyon8w01G0zbTntSvSw7EpbfInoqfZI6o8sH5w1jKlnFTlCqZu9kmcQl-9Kpk1ArxOlCiwnGu6gN8URvvDm95tFU5DjvXc3mBJ9nRfcY5iAY1TXEtUw2iaDg2juneJAC9MkVpMfVSYIKmqnL9TU0eY1jfQVi1SWz22VkS3wxM3fsl2F0oSQXmklQT17JmNXk9zzS5e4PQX3AoStJUp9RSNpCpIn6VYOj1YIe4GWj6Vn86G5C5cqeGNGzuTwgjYdZz4RMJn4yvLaiA=&xkcb=SoBp6_M356lg0iQH2R0CbzkdCdPP&camk=nUmJqO2E8riqGttyupi4kw==&p=9&fvj=0&vjs=3,PowerBI/Business Intelligence Consultant,,,Convverge Inc.,3.0,"Hybrid work in Calgary, AB T2R 1J8",Full-time,Monday to Friday,,,"Proficient with Azure SQL, ETL and modern data architecture.",data,"Employer
Active 4 days ago",,,Easily apply,"Experience providing data, integration, and systems analysis.",Employer,,data,,,,,
